"expense_category","household_type","annual_cost","state_name"
"Housing","2 Adults 2 Children",8356,"Nebraska"
"Transportation","2 Adults 2 Children",11236,"Nebraska"
"Other","2 Adults 2 Children",4891,"Nebraska"
"Required annual income after taxes","2 Adults 2 Children",51358,"Nebraska"
"Annual taxes","2 Adults 2 Children",7719,"Nebraska"
"Required annual income before taxes","2 Adults 2 Children",59077,"Nebraska"
"Food","2 Adults 3 Children",11068,"Nebraska"
"Child Care","2 Adults 3 Children",16568,"Nebraska"
"Medical","2 Adults 3 Children",6139,"Nebraska"
"Housing","2 Adults 3 Children",11116,"Nebraska"
"Transportation","2 Adults 3 Children",10735,"Nebraska"
"Other","2 Adults 3 Children",4569,"Nebraska"
"Required annual income after taxes","2 Adults 3 Children",60195,"Nebraska"
"Annual taxes","2 Adults 3 Children",9047,"Nebraska"
"Required annual income before taxes","2 Adults 3 Children",69243,"Nebraska"
"Food","1 Adult",3607,"Nevada"
"Child Care","1 Adult",0,"Nevada"
"Medical","1 Adult",2315,"Nevada"
"Housing","1 Adult",7620,"Nevada"
"Transportation","1 Adult",4054,"Nevada"
"Other","1 Adult",2284,"Nevada"
"Required annual income after taxes","1 Adult",19880,"Nevada"
"Annual taxes","1 Adult",2290,"Nevada"
"Required annual income before taxes","1 Adult",22170,"Nevada"
"Food","1 Adult 1 Child",5319,"Nevada"
"Child Care","1 Adult 1 Child",8028,"Nevada"
"Medical","1 Adult 1 Child",6401,"Nevada"
"Housing","1 Adult 1 Child",11950,"Nevada"
"Transportation","1 Adult 1 Child",7382,"Nevada"
"Other","1 Adult 1 Child",3971,"Nevada"
"Required annual income after taxes","1 Adult 1 Child",43052,"Nevada"
"Annual taxes","1 Adult 1 Child",4960,"Nevada"
"Required annual income before taxes","1 Adult 1 Child",48012,"Nevada"
"Food","1 Adult 2 Children",8002,"Nevada"
"Child Care","1 Adult 2 Children",11557,"Nevada"
"Medical","1 Adult 2 Children",6190,"Nevada"
"Housing","1 Adult 2 Children",11950,"Nevada"
"Transportation","1 Adult 2 Children",8509,"Nevada"
"Other","1 Adult 2 Children",4344,"Nevada"
"Required annual income after taxes","1 Adult 2 Children",50551,"Nevada"
"Annual taxes","1 Adult 2 Children",5824,"Nevada"
"Required annual income before taxes","1 Adult 2 Children",56375,"Nevada"
"Food","1 Adult 3 Children",10607,"Nevada"
"Child Care","1 Adult 3 Children",15085,"Nevada"
"Medical","1 Adult 3 Children",6254,"Nevada"
"Housing","1 Adult 3 Children",17508,"Nevada"
"Transportation","1 Adult 3 Children",9970,"Nevada"
"Other","1 Adult 3 Children",5250,"Nevada"
"Required annual income after taxes","1 Adult 3 Children",64675,"Nevada"
"Annual taxes","1 Adult 3 Children",7451,"Nevada"
"Required annual income before taxes","1 Adult 3 Children",72125,"Nevada"
"Food","2 Adults (One Working)",6612,"Nevada"
"Child Care","2 Adults (One Working)",0,"Nevada"
"Medical","2 Adults (One Working)",5003,"Nevada"
"Housing","2 Adults (One Working)",9576,"Nevada"
"Transportation","2 Adults (One Working)",7382,"Nevada"
"Other","2 Adults (One Working)",3971,"Nevada"
"Required annual income after taxes","2 Adults (One Working)",32545,"Nevada"
"Annual taxes","2 Adults (One Working)",3749,"Nevada"
"Required annual income before taxes","2 Adults (One Working)",36294,"Nevada"
"Food","2 Adults (One Working) 1 Child",8234,"Nevada"
"Child Care","2 Adults (One Working) 1 Child",0,"Nevada"
"Medical","2 Adults (One Working) 1 Child",6190,"Nevada"
"Housing","2 Adults (One Working) 1 Child",11950,"Nevada"
"Transportation","2 Adults (One Working) 1 Child",8509,"Nevada"
"Other","2 Adults (One Working) 1 Child",4344,"Nevada"
"Required annual income after taxes","2 Adults (One Working) 1 Child",39226,"Nevada"
"Annual taxes","2 Adults (One Working) 1 Child",4519,"Nevada"
"Required annual income before taxes","2 Adults (One Working) 1 Child",43745,"Nevada"
"Food","2 Adults (One Working) 2 Children",10627,"Nevada"
"Child Care","2 Adults (One Working) 2 Children",0,"Nevada"
"Medical","2 Adults (One Working) 2 Children",6254,"Nevada"
"Housing","2 Adults (One Working) 2 Children",11950,"Nevada"
"Transportation","2 Adults (One Working) 2 Children",9970,"Nevada"
"Other","2 Adults (One Working) 2 Children",5250,"Nevada"
"Required annual income after taxes","2 Adults (One Working) 2 Children",44051,"Nevada"
"Annual taxes","2 Adults (One Working) 2 Children",5075,"Nevada"
"Required annual income before taxes","2 Adults (One Working) 2 Children",49126,"Nevada"
"Food","2 Adults (One Working) 3 Children",12932,"Nevada"
"Child Care","2 Adults (One Working) 3 Children",0,"Nevada"
"Medical","2 Adults (One Working) 3 Children",6221,"Nevada"
"Housing","2 Adults (One Working) 3 Children",17508,"Nevada"
"Transportation","2 Adults (One Working) 3 Children",9525,"Nevada"
"Other","2 Adults (One Working) 3 Children",4905,"Nevada"
"Required annual income after taxes","2 Adults (One Working) 3 Children",51092,"Nevada"
"Annual taxes","2 Adults (One Working) 3 Children",5886,"Nevada"
"Required annual income before taxes","2 Adults (One Working) 3 Children",56978,"Nevada"
"Food","2 Adults",6612,"Nevada"
"Child Care","2 Adults",0,"Nevada"
"Medical","2 Adults",5003,"Nevada"
"Housing","2 Adults",9576,"Nevada"
"Transportation","2 Adults",7382,"Nevada"
"Other","2 Adults",3971,"Nevada"
"Required annual income after taxes","2 Adults",32545,"Nevada"
"Annual taxes","2 Adults",3749,"Nevada"
"Required annual income before taxes","2 Adults",36294,"Nevada"
"Food","2 Adults 1 Child",8234,"Nevada"
"Child Care","2 Adults 1 Child",8028,"Nevada"
"Medical","2 Adults 1 Child",6190,"Nevada"
"Housing","2 Adults 1 Child",11950,"Nevada"
"Transportation","2 Adults 1 Child",8509,"Nevada"
"Other","2 Adults 1 Child",4344,"Nevada"
"Required annual income after taxes","2 Adults 1 Child",47255,"Nevada"
"Annual taxes","2 Adults 1 Child",5444,"Nevada"
"Required annual income before taxes","2 Adults 1 Child",52698,"Nevada"
"Food","2 Adults 2 Children",10627,"Nevada"
"Child Care","2 Adults 2 Children",11557,"Nevada"
"Medical","2 Adults 2 Children",6254,"Nevada"
"Housing","2 Adults 2 Children",11950,"Nevada"
"Transportation","2 Adults 2 Children",9970,"Nevada"
"Other","2 Adults 2 Children",5250,"Nevada"
"Required annual income after taxes","2 Adults 2 Children",55608,"Nevada"
"Annual taxes","2 Adults 2 Children",6406,"Nevada"
"Required annual income before taxes","2 Adults 2 Children",62014,"Nevada"
"Food","2 Adults 3 Children",12932,"Nevada"
"Child Care","2 Adults 3 Children",15085,"Nevada"
"Medical","2 Adults 3 Children",6221,"Nevada"
"Housing","2 Adults 3 Children",17508,"Nevada"
"Transportation","2 Adults 3 Children",9525,"Nevada"
"Other","2 Adults 3 Children",4905,"Nevada"
"Required annual income after taxes","2 Adults 3 Children",66177,"Nevada"
"Annual taxes","2 Adults 3 Children",7624,"Nevada"
"Required annual income before taxes","2 Adults 3 Children",73800,"Nevada"
"Food","1 Adult",3509,"New Hampshire"
"Child Care","1 Adult",0,"New Hampshire"
"Medical","1 Adult",2431,"New Hampshire"
"Housing","1 Adult",8596,"New Hampshire"
"Transportation","1 Adult",3764,"New Hampshire"
"Other","1 Adult",2096,"New Hampshire"
"Required annual income after taxes","1 Adult",20396,"New Hampshire"
"Annual taxes","1 Adult",3369,"New Hampshire"
"Required annual income before taxes","1 Adult",23765,"New Hampshire"
"Food","1 Adult 1 Child",5176,"New Hampshire"
"Child Care","1 Adult 1 Child",8489,"New Hampshire"
"Medical","1 Adult 1 Child",6438,"New Hampshire"
"Housing","1 Adult 1 Child",12677,"New Hampshire"
"Transportation","1 Adult 1 Child",6855,"New Hampshire"
"Other","1 Adult 1 Child",3644,"New Hampshire"
"Required annual income after taxes","1 Adult 1 Child",43279,"New Hampshire"
"Annual taxes","1 Adult 1 Child",7150,"New Hampshire"
"Required annual income before taxes","1 Adult 1 Child",50428,"New Hampshire"
"Food","1 Adult 2 Children",7786,"New Hampshire"
"Child Care","1 Adult 2 Children",11506,"New Hampshire"
"Medical","1 Adult 2 Children",6227,"New Hampshire"
"Housing","1 Adult 2 Children",12677,"New Hampshire"
"Transportation","1 Adult 2 Children",7901,"New Hampshire"
"Other","1 Adult 2 Children",3987,"New Hampshire"
"Required annual income after taxes","1 Adult 2 Children",50083,"New Hampshire"
"Annual taxes","1 Adult 2 Children",8274,"New Hampshire"
"Required annual income before taxes","1 Adult 2 Children",58356,"New Hampshire"
"Food","1 Adult 3 Children",10321,"New Hampshire"
"Child Care","1 Adult 3 Children",14523,"New Hampshire"
"Medical","1 Adult 3 Children",6291,"New Hampshire"
"Housing","1 Adult 3 Children",16678,"New Hampshire"
"Transportation","1 Adult 3 Children",9258,"New Hampshire"
"Other","1 Adult 3 Children",4819,"New Hampshire"
"Required annual income after taxes","1 Adult 3 Children",61888,"New Hampshire"
"Annual taxes","1 Adult 3 Children",10224,"New Hampshire"
"Required annual income before taxes","1 Adult 3 Children",72112,"New Hampshire"
"Food","2 Adults (One Working)",6434,"New Hampshire"
"Child Care","2 Adults (One Working)",0,"New Hampshire"
"Medical","2 Adults (One Working)",4991,"New Hampshire"
"Housing","2 Adults (One Working)",9902,"New Hampshire"
"Transportation","2 Adults (One Working)",6855,"New Hampshire"
"Other","2 Adults (One Working)",3644,"New Hampshire"
"Required annual income after taxes","2 Adults (One Working)",31826,"New Hampshire"
"Annual taxes","2 Adults (One Working)",5258,"New Hampshire"
"Required annual income before taxes","2 Adults (One Working)",37084,"New Hampshire"
"Food","2 Adults (One Working) 1 Child",8011,"New Hampshire"
"Child Care","2 Adults (One Working) 1 Child",0,"New Hampshire"
"Medical","2 Adults (One Working) 1 Child",6227,"New Hampshire"
"Housing","2 Adults (One Working) 1 Child",12677,"New Hampshire"
"Transportation","2 Adults (One Working) 1 Child",7901,"New Hampshire"
"Other","2 Adults (One Working) 1 Child",3987,"New Hampshire"
"Required annual income after taxes","2 Adults (One Working) 1 Child",38802,"New Hampshire"
"Annual taxes","2 Adults (One Working) 1 Child",6410,"New Hampshire"
"Required annual income before taxes","2 Adults (One Working) 1 Child",45212,"New Hampshire"
"Food","2 Adults (One Working) 2 Children",10339,"New Hampshire"
"Child Care","2 Adults (One Working) 2 Children",0,"New Hampshire"
"Medical","2 Adults (One Working) 2 Children",6291,"New Hampshire"
"Housing","2 Adults (One Working) 2 Children",12677,"New Hampshire"
"Transportation","2 Adults (One Working) 2 Children",9258,"New Hampshire"
"Other","2 Adults (One Working) 2 Children",4819,"New Hampshire"
"Required annual income after taxes","2 Adults (One Working) 2 Children",43384,"New Hampshire"
"Annual taxes","2 Adults (One Working) 2 Children",7167,"New Hampshire"
"Required annual income before taxes","2 Adults (One Working) 2 Children",50551,"New Hampshire"
"Food","2 Adults (One Working) 3 Children",12583,"New Hampshire"
"Child Care","2 Adults (One Working) 3 Children",0,"New Hampshire"
"Medical","2 Adults (One Working) 3 Children",6258,"New Hampshire"
"Housing","2 Adults (One Working) 3 Children",16678,"New Hampshire"
"Transportation","2 Adults (One Working) 3 Children",8845,"New Hampshire"
"Other","2 Adults (One Working) 3 Children",4502,"New Hampshire"
"Required annual income after taxes","2 Adults (One Working) 3 Children",48865,"New Hampshire"
"Annual taxes","2 Adults (One Working) 3 Children",8073,"New Hampshire"
"Required annual income before taxes","2 Adults (One Working) 3 Children",56938,"New Hampshire"
"Food","2 Adults",6434,"New Hampshire"
"Child Care","2 Adults",0,"New Hampshire"
"Medical","2 Adults",4991,"New Hampshire"
"Housing","2 Adults",9902,"New Hampshire"
"Transportation","2 Adults",6855,"New Hampshire"
"Other","2 Adults",3644,"New Hampshire"
"Required annual income after taxes","2 Adults",31826,"New Hampshire"
"Annual taxes","2 Adults",5258,"New Hampshire"
"Required annual income before taxes","2 Adults",37084,"New Hampshire"
"Food","2 Adults 1 Child",8011,"New Hampshire"
"Child Care","2 Adults 1 Child",8489,"New Hampshire"
"Medical","2 Adults 1 Child",6227,"New Hampshire"
"Housing","2 Adults 1 Child",12677,"New Hampshire"
"Transportation","2 Adults 1 Child",7901,"New Hampshire"
"Other","2 Adults 1 Child",3987,"New Hampshire"
"Required annual income after taxes","2 Adults 1 Child",47291,"New Hampshire"
"Annual taxes","2 Adults 1 Child",7812,"New Hampshire"
"Required annual income before taxes","2 Adults 1 Child",55103,"New Hampshire"
"Food","2 Adults 2 Children",10339,"New Hampshire"
"Child Care","2 Adults 2 Children",11506,"New Hampshire"
"Medical","2 Adults 2 Children",6291,"New Hampshire"
"Housing","2 Adults 2 Children",12677,"New Hampshire"
"Transportation","2 Adults 2 Children",9258,"New Hampshire"
"Other","2 Adults 2 Children",4819,"New Hampshire"
"Required annual income after taxes","2 Adults 2 Children",54889,"New Hampshire"
"Annual taxes","2 Adults 2 Children",9068,"New Hampshire"
"Required annual income before taxes","2 Adults 2 Children",63957,"New Hampshire"
"Food","2 Adults 3 Children",12583,"New Hampshire"
"Child Care","2 Adults 3 Children",14523,"New Hampshire"
"Medical","2 Adults 3 Children",6258,"New Hampshire"
"Housing","2 Adults 3 Children",16678,"New Hampshire"
"Transportation","2 Adults 3 Children",8845,"New Hampshire"
"Other","2 Adults 3 Children",4502,"New Hampshire"
"Required annual income after taxes","2 Adults 3 Children",63388,"New Hampshire"
"Annual taxes","2 Adults 3 Children",10472,"New Hampshire"
"Required annual income before taxes","2 Adults 3 Children",73860,"New Hampshire"
"Food","1 Adult",3509,"New Jersey"
"Child Care","1 Adult",0,"New Jersey"
"Medical","1 Adult",2266,"New Jersey"
"Housing","1 Adult",11334,"New Jersey"
"Transportation","1 Adult",3764,"New Jersey"
"Other","1 Adult",2096,"New Jersey"
"Required annual income after taxes","1 Adult",22970,"New Jersey"
"Annual taxes","1 Adult",3048,"New Jersey"
"Required annual income before taxes","1 Adult",26018,"New Jersey"
"Food","1 Adult 1 Child",5176,"New Jersey"
"Child Care","1 Adult 1 Child",7977,"New Jersey"
"Medical","1 Adult 1 Child",6330,"New Jersey"
"Housing","1 Adult 1 Child",15541,"New Jersey"
"Transportation","1 Adult 1 Child",6855,"New Jersey"
"Other","1 Adult 1 Child",3644,"New Jersey"
"Required annual income after taxes","1 Adult 1 Child",45523,"New Jersey"
"Annual taxes","1 Adult 1 Child",6041,"New Jersey"
"Required annual income before taxes","1 Adult 1 Child",51564,"New Jersey"
"Food","1 Adult 2 Children",7786,"New Jersey"
"Child Care","1 Adult 2 Children",11301,"New Jersey"
"Medical","1 Adult 2 Children",6118,"New Jersey"
"Housing","1 Adult 2 Children",15541,"New Jersey"
"Transportation","1 Adult 2 Children",7901,"New Jersey"
"Other","1 Adult 2 Children",3987,"New Jersey"
"Required annual income after taxes","1 Adult 2 Children",52634,"New Jersey"
"Annual taxes","1 Adult 2 Children",6985,"New Jersey"
"Required annual income before taxes","1 Adult 2 Children",59619,"New Jersey"
"Food","1 Adult 3 Children",10321,"New Jersey"
"Child Care","1 Adult 3 Children",14625,"New Jersey"
"Medical","1 Adult 3 Children",6182,"New Jersey"
"Housing","1 Adult 3 Children",20256,"New Jersey"
"Transportation","1 Adult 3 Children",9258,"New Jersey"
"Other","1 Adult 3 Children",4819,"New Jersey"
"Required annual income after taxes","1 Adult 3 Children",65461,"New Jersey"
"Annual taxes","1 Adult 3 Children",8687,"New Jersey"
"Required annual income before taxes","1 Adult 3 Children",74147,"New Jersey"
"Food","2 Adults (One Working)",6434,"New Jersey"
"Child Care","2 Adults (One Working)",0,"New Jersey"
"Medical","2 Adults (One Working)",4558,"New Jersey"
"Housing","2 Adults (One Working)",12846,"New Jersey"
"Transportation","2 Adults (One Working)",6855,"New Jersey"
"Other","2 Adults (One Working)",3644,"New Jersey"
"Required annual income after taxes","2 Adults (One Working)",34337,"New Jersey"
"Annual taxes","2 Adults (One Working)",4557,"New Jersey"
"Required annual income before taxes","2 Adults (One Working)",38894,"New Jersey"
"Food","2 Adults (One Working) 1 Child",8011,"New Jersey"
"Child Care","2 Adults (One Working) 1 Child",0,"New Jersey"
"Medical","2 Adults (One Working) 1 Child",6118,"New Jersey"
"Housing","2 Adults (One Working) 1 Child",15541,"New Jersey"
"Transportation","2 Adults (One Working) 1 Child",7901,"New Jersey"
"Other","2 Adults (One Working) 1 Child",3987,"New Jersey"
"Required annual income after taxes","2 Adults (One Working) 1 Child",41559,"New Jersey"
"Annual taxes","2 Adults (One Working) 1 Child",5515,"New Jersey"
"Required annual income before taxes","2 Adults (One Working) 1 Child",47073,"New Jersey"
"Food","2 Adults (One Working) 2 Children",10339,"New Jersey"
"Child Care","2 Adults (One Working) 2 Children",0,"New Jersey"
"Medical","2 Adults (One Working) 2 Children",6182,"New Jersey"
"Housing","2 Adults (One Working) 2 Children",15541,"New Jersey"
"Transportation","2 Adults (One Working) 2 Children",9258,"New Jersey"
"Other","2 Adults (One Working) 2 Children",4819,"New Jersey"
"Required annual income after taxes","2 Adults (One Working) 2 Children",46140,"New Jersey"
"Annual taxes","2 Adults (One Working) 2 Children",6123,"New Jersey"
"Required annual income before taxes","2 Adults (One Working) 2 Children",52263,"New Jersey"
"Food","2 Adults (One Working) 3 Children",12583,"New Jersey"
"Child Care","2 Adults (One Working) 3 Children",0,"New Jersey"
"Medical","2 Adults (One Working) 3 Children",6149,"New Jersey"
"Housing","2 Adults (One Working) 3 Children",20256,"New Jersey"
"Transportation","2 Adults (One Working) 3 Children",8845,"New Jersey"
"Other","2 Adults (One Working) 3 Children",4502,"New Jersey"
"Required annual income after taxes","2 Adults (One Working) 3 Children",52335,"New Jersey"
"Annual taxes","2 Adults (One Working) 3 Children",6945,"New Jersey"
"Required annual income before taxes","2 Adults (One Working) 3 Children",59280,"New Jersey"
"Food","2 Adults",6434,"New Jersey"
"Child Care","2 Adults",0,"New Jersey"
"Medical","2 Adults",4558,"New Jersey"
"Housing","2 Adults",12846,"New Jersey"
"Transportation","2 Adults",6855,"New Jersey"
"Other","2 Adults",3644,"New Jersey"
"Required annual income after taxes","2 Adults",34337,"New Jersey"
"Annual taxes","2 Adults",4557,"New Jersey"
"Required annual income before taxes","2 Adults",38894,"New Jersey"
"Food","2 Adults 1 Child",8011,"New Jersey"
"Child Care","2 Adults 1 Child",7977,"New Jersey"
"Medical","2 Adults 1 Child",6118,"New Jersey"
"Housing","2 Adults 1 Child",15541,"New Jersey"
"Transportation","2 Adults 1 Child",7901,"New Jersey"
"Other","2 Adults 1 Child",3987,"New Jersey"
"Required annual income after taxes","2 Adults 1 Child",49536,"New Jersey"
"Annual taxes","2 Adults 1 Child",6573,"New Jersey"
"Required annual income before taxes","2 Adults 1 Child",56109,"New Jersey"
"Food","2 Adults 2 Children",10339,"New Jersey"
"Child Care","2 Adults 2 Children",11301,"New Jersey"
"Medical","2 Adults 2 Children",6182,"New Jersey"
"Housing","2 Adults 2 Children",15541,"New Jersey"
"Transportation","2 Adults 2 Children",9258,"New Jersey"
"Other","2 Adults 2 Children",4819,"New Jersey"
"Required annual income after taxes","2 Adults 2 Children",57441,"New Jersey"
"Annual taxes","2 Adults 2 Children",7622,"New Jersey"
"Required annual income before taxes","2 Adults 2 Children",65063,"New Jersey"
"Food","2 Adults 3 Children",12583,"New Jersey"
"Child Care","2 Adults 3 Children",14625,"New Jersey"
"Medical","2 Adults 3 Children",6149,"New Jersey"
"Housing","2 Adults 3 Children",20256,"New Jersey"
"Transportation","2 Adults 3 Children",8845,"New Jersey"
"Other","2 Adults 3 Children",4502,"New Jersey"
"Required annual income after taxes","2 Adults 3 Children",66960,"New Jersey"
"Annual taxes","2 Adults 3 Children",8886,"New Jersey"
"Required annual income before taxes","2 Adults 3 Children",75846,"New Jersey"
"Food","1 Adult",3607,"New Mexico"
"Child Care","1 Adult",0,"New Mexico"
"Medical","1 Adult",2126,"New Mexico"
"Housing","1 Adult",6291,"New Mexico"
"Transportation","1 Adult",4054,"New Mexico"
"Other","1 Adult",2284,"New Mexico"
"Required annual income after taxes","1 Adult",18361,"New Mexico"
"Annual taxes","1 Adult",2703,"New Mexico"
"Required annual income before taxes","1 Adult",21064,"New Mexico"
"Food","1 Adult 1 Child",5319,"New Mexico"
"Child Care","1 Adult 1 Child",5932,"New Mexico"
"Medical","1 Adult 1 Child",5842,"New Mexico"
"Housing","1 Adult 1 Child",9237,"New Mexico"
"Transportation","1 Adult 1 Child",7382,"New Mexico"
"Other","1 Adult 1 Child",3971,"New Mexico"
"Required annual income after taxes","1 Adult 1 Child",37683,"New Mexico"
"Annual taxes","1 Adult 1 Child",5547,"New Mexico"
"Required annual income before taxes","1 Adult 1 Child",43230,"New Mexico"
"Food","1 Adult 2 Children",8002,"New Mexico"
"Child Care","1 Adult 2 Children",9358,"New Mexico"
"Medical","1 Adult 2 Children",5630,"New Mexico"
"Housing","1 Adult 2 Children",9237,"New Mexico"
"Transportation","1 Adult 2 Children",8509,"New Mexico"
"Other","1 Adult 2 Children",4344,"New Mexico"
"Required annual income after taxes","1 Adult 2 Children",45080,"New Mexico"
"Annual taxes","1 Adult 2 Children",6636,"New Mexico"
"Required annual income before taxes","1 Adult 2 Children",51715,"New Mexico"
"Food","1 Adult 3 Children",10607,"New Mexico"
"Child Care","1 Adult 3 Children",12784,"New Mexico"
"Medical","1 Adult 3 Children",5694,"New Mexico"
"Housing","1 Adult 3 Children",12825,"New Mexico"
"Transportation","1 Adult 3 Children",9970,"New Mexico"
"Other","1 Adult 3 Children",5250,"New Mexico"
"Required annual income after taxes","1 Adult 3 Children",57131,"New Mexico"
"Annual taxes","1 Adult 3 Children",8410,"New Mexico"
"Required annual income before taxes","1 Adult 3 Children",65541,"New Mexico"
"Food","2 Adults (One Working)",6612,"New Mexico"
"Child Care","2 Adults (One Working)",0,"New Mexico"
"Medical","2 Adults (One Working)",4759,"New Mexico"
"Housing","2 Adults (One Working)",7443,"New Mexico"
"Transportation","2 Adults (One Working)",7382,"New Mexico"
"Other","2 Adults (One Working)",3971,"New Mexico"
"Required annual income after taxes","2 Adults (One Working)",30167,"New Mexico"
"Annual taxes","2 Adults (One Working)",4441,"New Mexico"
"Required annual income before taxes","2 Adults (One Working)",34608,"New Mexico"
"Food","2 Adults (One Working) 1 Child",8234,"New Mexico"
"Child Care","2 Adults (One Working) 1 Child",0,"New Mexico"
"Medical","2 Adults (One Working) 1 Child",5630,"New Mexico"
"Housing","2 Adults (One Working) 1 Child",9237,"New Mexico"
"Transportation","2 Adults (One Working) 1 Child",8509,"New Mexico"
"Other","2 Adults (One Working) 1 Child",4344,"New Mexico"
"Required annual income after taxes","2 Adults (One Working) 1 Child",35953,"New Mexico"
"Annual taxes","2 Adults (One Working) 1 Child",5292,"New Mexico"
"Required annual income before taxes","2 Adults (One Working) 1 Child",41245,"New Mexico"
"Food","2 Adults (One Working) 2 Children",10627,"New Mexico"
"Child Care","2 Adults (One Working) 2 Children",0,"New Mexico"
"Medical","2 Adults (One Working) 2 Children",5694,"New Mexico"
"Housing","2 Adults (One Working) 2 Children",9237,"New Mexico"
"Transportation","2 Adults (One Working) 2 Children",9970,"New Mexico"
"Other","2 Adults (One Working) 2 Children",5250,"New Mexico"
"Required annual income after taxes","2 Adults (One Working) 2 Children",40778,"New Mexico"
"Annual taxes","2 Adults (One Working) 2 Children",6003,"New Mexico"
"Required annual income before taxes","2 Adults (One Working) 2 Children",46781,"New Mexico"
"Food","2 Adults (One Working) 3 Children",12932,"New Mexico"
"Child Care","2 Adults (One Working) 3 Children",0,"New Mexico"
"Medical","2 Adults (One Working) 3 Children",5661,"New Mexico"
"Housing","2 Adults (One Working) 3 Children",12825,"New Mexico"
"Transportation","2 Adults (One Working) 3 Children",9525,"New Mexico"
"Other","2 Adults (One Working) 3 Children",4905,"New Mexico"
"Required annual income after taxes","2 Adults (One Working) 3 Children",45850,"New Mexico"
"Annual taxes","2 Adults (One Working) 3 Children",6749,"New Mexico"
"Required annual income before taxes","2 Adults (One Working) 3 Children",52599,"New Mexico"
"Food","2 Adults",6612,"New Mexico"
"Child Care","2 Adults",0,"New Mexico"
"Medical","2 Adults",4759,"New Mexico"
"Housing","2 Adults",7443,"New Mexico"
"Transportation","2 Adults",7382,"New Mexico"
"Other","2 Adults",3971,"New Mexico"
"Required annual income after taxes","2 Adults",30167,"New Mexico"
"Annual taxes","2 Adults",4441,"New Mexico"
"Required annual income before taxes","2 Adults",34608,"New Mexico"
"Food","2 Adults 1 Child",8234,"New Mexico"
"Child Care","2 Adults 1 Child",5932,"New Mexico"
"Medical","2 Adults 1 Child",5630,"New Mexico"
"Housing","2 Adults 1 Child",9237,"New Mexico"
"Transportation","2 Adults 1 Child",8509,"New Mexico"
"Other","2 Adults 1 Child",4344,"New Mexico"
"Required annual income after taxes","2 Adults 1 Child",41885,"New Mexico"
"Annual taxes","2 Adults 1 Child",6165,"New Mexico"
"Required annual income before taxes","2 Adults 1 Child",48050,"New Mexico"
"Food","2 Adults 2 Children",10627,"New Mexico"
"Child Care","2 Adults 2 Children",9358,"New Mexico"
"Medical","2 Adults 2 Children",5694,"New Mexico"
"Housing","2 Adults 2 Children",9237,"New Mexico"
"Transportation","2 Adults 2 Children",9970,"New Mexico"
"Other","2 Adults 2 Children",5250,"New Mexico"
"Required annual income after taxes","2 Adults 2 Children",50136,"New Mexico"
"Annual taxes","2 Adults 2 Children",7380,"New Mexico"
"Required annual income before taxes","2 Adults 2 Children",57516,"New Mexico"
"Food","2 Adults 3 Children",12932,"New Mexico"
"Child Care","2 Adults 3 Children",12784,"New Mexico"
"Medical","2 Adults 3 Children",5661,"New Mexico"
"Housing","2 Adults 3 Children",12825,"New Mexico"
"Transportation","2 Adults 3 Children",9525,"New Mexico"
"Other","2 Adults 3 Children",4905,"New Mexico"
"Required annual income after taxes","2 Adults 3 Children",58634,"New Mexico"
"Annual taxes","2 Adults 3 Children",8631,"New Mexico"
"Required annual income before taxes","2 Adults 3 Children",67265,"New Mexico"
"Food","1 Adult",3509,"New York"
"Child Care","1 Adult",0,"New York"
"Medical","1 Adult",2304,"New York"
"Housing","1 Adult",11192,"New York"
"Transportation","1 Adult",3764,"New York"
"Other","1 Adult",2096,"New York"
"Required annual income after taxes","1 Adult",22865,"New York"
"Annual taxes","1 Adult",3663,"New York"
"Required annual income before taxes","1 Adult",26528,"New York"
"Food","1 Adult 1 Child",5176,"New York"
"Child Care","1 Adult 1 Child",10176,"New York"
"Medical","1 Adult 1 Child",6070,"New York"
"Housing","1 Adult 1 Child",15030,"New York"
"Transportation","1 Adult 1 Child",6855,"New York"
"Other","1 Adult 1 Child",3644,"New York"
"Required annual income after taxes","1 Adult 1 Child",46951,"New York"
"Annual taxes","1 Adult 1 Child",7522,"New York"
"Required annual income before taxes","1 Adult 1 Child",54472,"New York"
"Food","1 Adult 2 Children",7786,"New York"
"Child Care","1 Adult 2 Children",20250,"New York"
"Medical","1 Adult 2 Children",5859,"New York"
"Housing","1 Adult 2 Children",15030,"New York"
"Transportation","1 Adult 2 Children",7901,"New York"
"Other","1 Adult 2 Children",3987,"New York"
"Required annual income after taxes","1 Adult 2 Children",60812,"New York"
"Annual taxes","1 Adult 2 Children",9742,"New York"
"Required annual income before taxes","1 Adult 2 Children",70554,"New York"
"Food","1 Adult 3 Children",10321,"New York"
"Child Care","1 Adult 3 Children",30324,"New York"
"Medical","1 Adult 3 Children",5922,"New York"
"Housing","1 Adult 3 Children",19381,"New York"
"Transportation","1 Adult 3 Children",9258,"New York"
"Other","1 Adult 3 Children",4819,"New York"
"Required annual income after taxes","1 Adult 3 Children",80024,"New York"
"Annual taxes","1 Adult 3 Children",12820,"New York"
"Required annual income before taxes","1 Adult 3 Children",92844,"New York"
"Food","2 Adults (One Working)",6434,"New York"
"Child Care","2 Adults (One Working)",0,"New York"
"Medical","2 Adults (One Working)",4654,"New York"
"Housing","2 Adults (One Working)",12409,"New York"
"Transportation","2 Adults (One Working)",6855,"New York"
